date,state,fips,cases,deaths,POPESTIMATE2019
2020-03-23,Utah,49,257,1,3205958
2020-03-24,Utah,49,298,1,3205958
2020-03-25,Utah,49,346,1,3205958
2020-03-26,Utah,49,402,1,3205958
2020-03-27,Utah,49,480,2,3205958
2020-03-28,Utah,49,608,2,3205958
2020-03-29,Utah,49,719,2,3205958
2020-03-30,Utah,49,806,4,3205958
2020-03-31,Utah,49,887,5,3205958
2020-04-01,Utah,49,1012,7,3205958
2020-04-02,Utah,49,1077,7,3205958
2020-04-03,Utah,49,1248,7,3205958
2020-04-04,Utah,49,1426,8,3205958
2020-04-05,Utah,49,1618,8,3205958
2020-04-06,Utah,49,1662,13,3205958
2020-04-07,Utah,49,1737,13,3205958
2020-04-08,Utah,49,1860,13,3205958
2020-04-09,Utah,49,1980,13,3205958
2020-04-10,Utah,49,2103,17,3205958
2020-04-11,Utah,49,2208,18,3205958
2020-04-12,Utah,49,2305,18,3205958
2020-04-13,Utah,49,2368,18,3205958
2020-04-14,Utah,49,2420,19,3205958
2020-04-15,Utah,49,2549,20,3205958
2020-04-16,Utah,49,2687,21,3205958
2020-04-17,Utah,49,2813,23,3205958
2020-04-18,Utah,49,2942,25,3205958
2020-04-19,Utah,49,3071,27,3205958
2020-04-20,Utah,49,3213,28,3205958
2020-04-21,Utah,49,3301,32,3205958
2020-04-22,Utah,49,3451,34,3205958
2020-04-23,Utah,49,3621,35,3205958
2020-04-24,Utah,49,3782,39,3205958
2020-04-25,Utah,49,3950,41,3205958
2020-04-26,Utah,49,4123,41,3205958
2020-04-27,Utah,49,4236,41,3205958
2020-04-28,Utah,49,4343,45,3205958
2020-04-29,Utah,49,4499,45,3205958
2020-04-30,Utah,49,4672,46,3205958
2020-05-01,Utah,49,4829,46,3205958
2020-05-02,Utah,49,4981,49,3205958
2020-05-03,Utah,49,5175,50,3205958
2020-05-04,Utah,49,5326,50,3205958
2020-05-05,Utah,49,5449,56,3205958
2020-05-06,Utah,49,5605,59,3205958
2020-05-07,Utah,49,5724,61,3205958
2020-05-08,Utah,49,5919,61,3205958
2020-05-09,Utah,49,6103,66,3205958
2020-05-10,Utah,49,6251,67,3205958
2020-05-11,Utah,49,6364,68,3205958
2020-05-12,Utah,49,6454,73,3205958
2020-05-13,Utah,49,6624,76,3205958
2020-05-14,Utah,49,6760,76,3205958
